,title,author,address,booktitle,note,year,volume,number,pages,pages,abstract,ISSN,ISBNs,doi,Funding Information,PDF Link,Author Keywords,IEEE Terms,keywords,series,series,series,note,note,note,note,publisher,ID
39,Bobble-Bot: An educational platform for real-time control with ROS,M. Moore; J. Sooknanan; J. Holley,"Simulation and Software Lead, S.O. Engineering, Houston, TX; Lead Mechanical Designer, S.D. Engineering, Houston, TX; Simulation and Software Lead, S.O. Engineering, Houston, TX",2019 IEEE International Symposium on Measurement and Control in Robotics (ISMCR),13 Jan 2020,2019,,,B3-2-1,B3-2-7,"To help meet the growing needs of the robotics community, the Robot Operating System (ROS) is currently undergoing a major redesign in which one of its primary design goals is to prioritize support for real-time computing (ROS2). Real-time computing techniques are found in most industrial robots, and yet this capability is noticeably lacking from many of the open-source ROS robots in existence today. This knowledge gap is problematic for students using ROS and their future employers with realtime systems requiring development and maintenance. Bobble-Bot is an open-source ROS robot that was created to close this gap. The robot demonstrates the use of real-time control using ROS in a fun and engaging way. Bobble-Bot is a modern example of the classic inverted pendulum problem that is commonly covered in control theory. It is a controls problem that requires a real-time controller to maintain stability. This paper introduces Bobble-Bot and its accompanying simulator in order to demonstrate how to design a real-time system that uses the ROS and ROS2 frameworks. In addition, results from simulation and hardware tests are provided along with links to Bobble-Bot's open-source software and project documentation.",,978-1-7281-4899-1,10.1109/ISMCR47492.2019.8955713,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8955713,,Real-time systems;Robots;Kernel;Economic indicators;Open source software;Hardware,,,,14.0,IEEE,13 Jan 2020,,,IEEE,IEEE Conferences
40,Between JIRA and GitHub: ASFBot and its Influence on Human Comments in Issue Trackers,A. Moharil; D. Orlov; S. Jameel; T. Trouwen; N. Cassee; A. Serebrenik,"Eindhoven University of Technology, Eindhoven, The Netherlands; Eindhoven University of Technology, Eindhoven, The Netherlands; Eindhoven University of Technology, Eindhoven, The Netherlands; Eindhoven University of Technology, Eindhoven, The Netherlands; Eindhoven University of Technology, Eindhoven, The Netherlands; Eindhoven University of Technology, Eindhoven, The Netherlands",2022 IEEE/ACM 19th International Conference on Mining Software Repositories (MSR),21 Jun 2022,2022,,,112,116,"Open-Source Software (OSS) projects have adopted various automations for repetitive tasks in recent years. One common type of automation in OSS is bots. In this exploratory case study, we seek to understand how the adoption of one particular bot (ASFBot) by the Apache Software Foundation (ASF) impacts the discussions in the issue-trackers of these projects. We use the SmartShark dataset to investigate whether the ASFBot affects (i) human comments mentioning pull requests and fixes in issue comments and (ii) the general human comment rate on issues. We apply a regression discontinuity design (RDD) on nine ASF projects that have been active both before and after the ASFBot adoption. Our results indicate (i) an immediate decrease in the number of median comments mentioning pull requests and fixes after the bot adoption, but the trend of a monthly decrease in this comment count is reversed, and (ii) no effect in the number of human comments after the bot adoption. We make an effort to gather first insights in understanding the impact of adopting the ASFBot on the commenting behavior of developers who are working on ASF projects.",2574-3864,978-1-4503-9303-4,10.1145/3524842.3528528,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9796306,bots;ASFBot;issue-trackers;Apache,Bot (Internet);Automation;Market research;Behavioral sciences;Data mining;Task analysis;Open source software,,1.0,,30.0,CCBY,21 Jun 2022,,,IEEE,IEEE Conferences
41,How to Design a Program Repair Bot? Insights from the Repairnator Project,S. Urli; Z. Yu; L. Seinturier; M. Monperrus,"University of Lille, Inria Lille, France; University of Lille, Inria Lille, France; University of Lille, Inria Lille, France; KTH Royal Institute of Technology, Sweden",2018 IEEE/ACM 40th International Conference on Software Engineering: Software Engineering in Practice Track (ICSE-SEIP),30 Aug 2018,2018,,,95,104,"Program repair research has made tremendous progress over the last few years, and software development bots are now being invented to help developers gain productivity. In this paper, we investigate the concept of a ""program repair bot"" and present Repairnator. The Repairnator bot is an autonomous agent that constantly monitors test failures, reproduces bugs, and runs program repair tools against each reproduced bug. If a patch is found, Repairnator bot reports it to the developers. At the time of writing, Repairnator uses three different program repair systems and has been operating since February 2017. In total, it has studied 11 523 test failures over 1 609 open-source software projects hosted on GitHub, and has generated patches for 15 different bugs. Over months, we hit a number of hard technical challenges and had to make various design and engineering decisions. This gives us a unique experience in this area. In this paper, we reflect upon Repairnator in order to share this knowledge with the automatic program repair community.",,978-1-4503-5659-6,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8449240,program repair;repair bot,Maintenance engineering;Computer bugs;Tools;Open source software;Java;Software engineering,,3.0,,35.0,,30 Aug 2018,,,IEEE,IEEE Conferences
42,Detecting and Characterizing Bots that Commit Code,T. Dey; S. Mousavi; E. Ponce; T. Fry; B. Vasilescu; A. Filippova; A. Mockus,"The University of Tennessee, Knoxville, TN, USA; The University of Tennessee, Knoxville, TN, USA; The University of Tennessee, Knoxville, TN, USA; The University of Tennessee, Knoxville, TN, USA; Carnegie Mellon University, Pittsburgh, PA, USA; Github, San Francisco, CA, USA; The University of Tennessee, Knoxville, TN, USA",2020 IEEE/ACM 17th International Conference on Mining Software Repositories (MSR),20 Jun 2023,2020,,,209,219,"Background: Some developer activity traditionally performed manually, such as making code commits, opening, managing, or closing issues is increasingly subject to automation in many OSS projects. Specifically, such activity is often performed by tools that react to events or run at specific times. We refer to such automation tools as bots and, in many software mining scenarios related to developer productivity or code quality, it is desirable to identify bots in order to separate their actions from actions of individuals. Aim: Find an automated way of identifying bots and code committed by these bots, and to characterize the types of bots based on their activity patterns. Method and Result: We propose BIMAN, a systematic approach to detect bots using author names, commit messages, files modified by the commit, and projects associated with the commits. For our test data, the value for AUC-ROC was 0.9. We also characterized these bots based on the time patterns of their code commits and the types of files modified, and found that they primarily work with documentation files and web pages, and these files are most prevalent in HTML and JavaScript ecosystems. We have compiled a shareable dataset containing detailed information about 461 bots we found (all of which have more than 1000 commits) and 13,762,430 commits they created.",2574-3864,978-1-4503-7517-7,10.1145/3379597.3387478,"NSF(grant numbers:CNS-1925615,IIS-1633437,IIS-1901102,1717415,1901311); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10148716,bots;automated commits;random forest;ensemble model;social coding platforms;software engineering,Productivity;Codes;Automation;Systematics;Social networking (online);Web pages;Chatbots,,25.0,,49.0,,20 Jun 2023,,,IEEE,IEEE Conferences
43,Bringing Automation to the Classroom: A ChatOps-Based Approach,E. Mulyana; R. Hakimi; Hendrawan,"School of Electrical Engineering and Informatics, Institut Teknologi Bandung, Bandung, Indonesia; School of Electrical Engineering and Informatics, Institut Teknologi Bandung, Bandung, Indonesia; School of Electrical Engineering and Informatics, Institut Teknologi Bandung, Bandung, Indonesia",2018 4th International Conference on Wireless and Telematics (ICWT),11 Nov 2018,2018,,,1,6,In this paper we present the design and implementation of a chatbot-based virtual assistant called LTKA-Bot. Its main function is to streamline and to automate manual and administrative tasks while supporting other course-related activities. It differs from other recent approaches in that it is based on the ChatOps paradigm instead of on some AI-based schemes. LTKA-Bot introduces a case of automation and demonstrates its potentials in the area of higher education which is steadily transformed to cope with technological progresses and administrative policy dynamics including accreditation. International accreditation body such as ABET requires fulfillment of certain criteria which in turn also requires appropriate course design and quite a lot of document works. LTKA-Bot borrows the idea of automation which is very common in the modern tech companies to cope with such challenges. It facilitates more efficient course-related activities while satisfying all document requirement with minimal effort.,,978-1-5386-6163-5,10.1109/ICWT.2018.8527810,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8527810,chatops;chatbot;automation;ABET;virtual assistant;bot in education,Task analysis;Automation;Accreditation;Artificial intelligence;Planning;Personal digital assistants,,10.0,,10.0,IEEE,11 Nov 2018,,,IEEE,IEEE Conferences
44,Understanding the Time to First Response in GitHub Pull Requests,K. A. Hasan; M. Macedo; Y. Tian; B. Adams; S. Ding,"School of Computing, Queen’s University, Kingston, ON, Canada; School of Computing, Queen’s University, Kingston, ON, Canada; School of Computing, Queen’s University, Kingston, ON, Canada; School of Computing, Queen’s University, Kingston, ON, Canada; School of Computing, Queen’s University, Kingston, ON, Canada",2023 IEEE/ACM 20th International Conference on Mining Software Repositories (MSR),12 Jul 2023,2023,,,1,11,"The pull-based development is widely adopted in modern open-source software (OSS) projects, where developers propose changes to the codebase by submitting a pull request (PR). However, due to many reasons, PRs in OSS projects frequently experience delays across their lifespan, including prolonged waiting times for the first response. Such delays may significantly impact the efficiency and productivity of the development process, as well as the retention of new contributors as long-term contributors.In this paper, we conduct an exploratory study on the time-to-first-response for PRs by analyzing 111,094 closed PRs from ten popular OSS projects on GitHub. We find that bots frequently generate the first response in a PR, and significant differences exist in the timing of bot-generated versus human-generated first responses. We then perform an empirical study to examine the characteristics of bot- and human-generated first responses, including their relationship with the PR’s lifetime. Our results suggest that the presence of bots is an important factor contributing to the time-to-first-response in the pull-based development paradigm, and hence should be separately analyzed from human responses. We also report the characteristics of PRs that are more likely to experience long waiting for the first human-generated response. Our findings have practical implications for newcomers to understand the factors contributing to delays in their PRs.",2574-3864,979-8-3503-1184-6,10.1109/MSR59073.2023.00015,Natural Sciences and Engineering Research Council of Canada; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10173964,pull request;first response;latency analysis;fine-grained analysis;code review,Productivity;Focusing;Chatbots;Delays;Time factors;Data mining;Open source software,,,,32.0,IEEE,12 Jul 2023,,,IEEE,IEEE Conferences
45,"Exploring Activity and Contributors on GitHub: Who, What, When, and Where",X. Xia; Z. Weng; W. Wang; S. Zhao,"Data Science and Engineering, East China Normal University, Shanghai, China; Data Science and Engineering, East China Normal University, Shanghai, China; Data Science and Engineering, East China Normal University, Shanghai, China; School of Electronic and Information Engineering, Tongji University, Shanghai, China",2022 29th Asia-Pacific Software Engineering Conference (APSEC),16 Feb 2023,2022,,,11,20,"Apart from being a code hosting platform, GitHub is the place where large-scale open collaborations and contributions happen. Every minute, thousands of developers are submitting code, having discussions of issues or pull requests, with all user behaviors recorded in the GitHub Event Stream (GES). Exploration of the activities in the GES could help understand who is active, the way they work, the time when they are active and even their location. To this end, a large-scale analysis was initially performed based on the 0.86 billion event records generated in 2020. We extracted 902K active contributors out of 14 million GitHub accounts by observing their activity distribution, then explored their behavior distribution, active time in the day and week, and estimated time zone distributions on the basis of their circadian activity rhythm. To go deeper, a case study of 79 projects in CNCF and contrast analyses of different project maturity levels were conducted. Our results showed that from a macro perspective, bots are increasingly more active and can serve numerous projects. Contributors work on weekdays, and are globally more inclined toward the daytime working hours in the Americas and Europe. The time zone distribution also reveals that UTC+2 and UTC-4 have the most active contributors. A critical discovery was the validation and quantification of a high bus factor risk exists in the OSS ecosystem. Whether from a large group point of view or within specific projects, a rather small group of OSS contributors (less than 20%) undertook the majority of the work. The GES can provide a wealth of information about open source software (OSS). Our findings provide insights into global GitHub collaboration behaviors and may be of help for researchers and practitioners to further understand modern OSS ecosystem.",2640-0715,978-1-6654-5537-4,10.1109/APSEC57359.2022.00013,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10043221,GitHub behavior data;Contributor Activity;Open Source Collaboration,Codes;Ecosystems;Collaboration;Venture capital;Germanium;Chatbots;Rhythm,,2.0,,44.0,IEEE,16 Feb 2023,,,IEEE,IEEE Conferences
46,AI-Powered Code Review Assistant for Streamlining Pull Request Merging,C. Adapa; S. S. Avulamanda; A. R. K. Anjana; A. Victor,"India Systems Development Labs, IBM India Private Limited, Bangalore, India; India Systems Development Labs, IBM India Private Limited, Bangalore, India; India Systems Development Labs, IBM India Private Limited, Bangalore, India; India Systems Development Labs, IBM India Private Limited, Bangalore, India","2024 IEEE International Conference for Women in Innovation, Technology & Entrepreneurship (ICWITE)",23 Apr 2024,2024,,,323,327,"WatsonX, a comprehensive data and AI platform, adeptly addresses contemporary challenges by meticulously training, validating, tuning, and deploying data to drive impactful business outcomes. The intricate task of timely merging Pull Requests (PRs) poses a significant challenge for software development teams, directly influencing business operations. This paper introduces an innovative solution leveraging AI, particularly harnessing generative AI techniques with the Falcon40-B model through the platform. The AI bot facilitates an initial PR review, offering insightful feedback on code formatting, best practices, and minor issues and streamlines collaboration by automatically assigning and notifying PR reviewers. The overarching goal is the continuous evolution of this AI bot into an intelligent reviewer, capable of assessing code from a functional standpoint. The implementation of this solution holds the promise of significantly enhancing PR management and expediting the entire development workflow.",,979-8-3503-8328-7,10.1109/ICWITE59797.2024.10503540,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10503540,WatsonX;Generative AI;Pull request;Falcon40B;Code review;GitHub webhooks;Intelligent bot,Training;Codes;Reviews;Merging;Chatbots;Software;Task analysis,,,,17.0,IEEE,23 Apr 2024,,,IEEE,IEEE Conferences
47,Recommending Good First Issues in GitHub OSS Projects,W. Xiao; H. He; W. Xu; X. Tan; J. Dong; M. Zhou,"Key Laboratory of High Confidence Software Technologies, Ministry of Education, School of Computer Science, Peking University, Beijing, China; Key Laboratory of High Confidence Software Technologies, Ministry of Education, School of Computer Science, Peking University, Beijing, China; School of Computer Science and Technology, Soochow University, Suzhou, China; Key Laboratory of High Confidence Software Technologies, Ministry of Education, School of Computer Science, Peking University, Beijing, China; Key Laboratory of High Confidence Software Technologies, Ministry of Education, School of Computer Science, Peking University, Beijing, China; Key Laboratory of High Confidence Software Technologies, Ministry of Education, School of Computer Science, Peking University, Beijing, China",2022 IEEE/ACM 44th International Conference on Software Engineering (ICSE),20 Jun 2022,2022,,,1830,1842,"Attracting and retaining newcomers is vital for the sustainability of an open-source software project. However, it is difficult for new-comers to locate suitable development tasks, while existing “Good First Issues” (GFI) in GitHub are often insufficient and inappropriate. In this paper, we propose RECGFI, an effective practical approach for the recommendation of good first issues to newcomers, which can be used to relieve maintainers' burden and help newcomers onboard. RECGFI models an issue with features from multiple dimensions (content, background, and dynamics) and uses an XGBoost classifier to generate its probability of being a GFI. To evaluate RECGFI, we collect 53,510 resolved issues among 100 GitHub projects and care-fully restore their historical states to build ground truth datasets. Our evaluation shows that RECGFI can achieve up to 0.853 AUC in the ground truth dataset and outperforms alternative models. Our interpretable analysis of the trained model further reveals in-teresting observations about GFI characteristics. Finally, we report latest issues (without GFI-signaling labels but recommended as GFI by our approach) to project maintainers among which 16 are confirmed as real GFIs and five have been resolved by a newcomer.",1558-1225,978-1-4503-9221-1,10.1145/3510003.3510196,National Key R&D Program of China(grant numbers:2018YFB1004201); National Natural Science Foundation of China(grant numbers:61825201); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9793998,open-source software;onboarding;good first issues,Bot (Internet);Analytical models;Machine learning;Task analysis;Sustainable development;Open source software;Software development management,,8.0,,67.0,CCBY,20 Jun 2022,,,IEEE,IEEE Conferences
48,JITBot: An Explainable Just-In-Time Defect Prediction Bot,C. Khanan; W. Luewichana; K. Pruktharathikoon; J. Jiarpakdee; C. Tantithamthavorn; M. Choetkiertikul; C. Ragkhitwetsagul; T. Sunetnanta,"Faculty of Information and Communication Technology (ICT), Mahidol University, Bangkok, Thailand; Faculty of Information and Communication Technology (ICT), Mahidol University, Bangkok, Thailand; Faculty of Information and Communication Technology (ICT), Mahidol University, Bangkok, Thailand; Faculty of Information Technology (FIT), Monash University, Melbourne, Australia; Faculty of Information Technology (FIT), Monash University, Melbourne, Australia; Faculty of Information and Communication Technology (ICT), Mahidol University, Bangkok, Thailand; Faculty of Information and Communication Technology (ICT), Mahidol University, Bangkok, Thailand; Faculty of Information and Communication Technology (ICT), Mahidol University, Bangkok, Thailand",2020 35th IEEE/ACM International Conference on Automated Software Engineering (ASE),24 Dec 2020,2020,,,1336,1339,"Just-In-Time (JIT) defect prediction is a classification model that is trained using historical data to predict bug-introducing changes. However, recent studies raised concerns related to the explain-ability of the predictions of many software analytics applications (i.e., practitioners do not understand why commits are risky and how to improve them). In addition, the adoption of Just-In-Time defect prediction is still limited due to a lack of integration into CI/CD pipelines and modern software development platforms (e.g., GitHub). In this paper, we present an explainable Just-In-Time defect prediction framework to automatically generate feedback to developers by providing the riskiness of each commit, explaining why such commit is risky, and suggesting risk mitigation plans. The proposed framework is integrated into the GitHub CI/CD pipeline as a GitHub application to continuously monitor and analyse a stream of commits in many GitHub repositories. Finally, we discuss the usage scenarios and their implications to practitioners. The VDO demonstration is available at https://jitbot-tool.github.io/.",2643-1572,978-1-4503-6768-4,,ARC(grant numbers:DE200100941); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9286007,Software Quality Assurance;Just-In-Time Defect Prediction,Pipelines;Software quality;Predictive models;Risk management;Monitoring;Software development management;Software engineering,,24.0,,11.0,,24 Dec 2020,,,IEEE,IEEE Conferences
49,Navigating Complexity in Software Engineering: A Prototype for Comparing GPT-n Solutions,C. Treude,"School of Computing and Information Systems, The University of Melbourne, Melbourne, Australia",2023 IEEE/ACM 5th International Workshop on Bots in Software Engineering (BotSE),27 Jul 2023,2023,,,1,5,"Navigating the diverse solution spaces of non-trivial software engineering tasks requires a combination of technical knowledge, problem-solving skills, and creativity. With multiple possible solutions available, each with its own set of trade-offs, it is essential for programmers to evaluate the various options and select the one that best suits the specific requirements and constraints of a project. Whether it is choosing from a range of libraries, weighing the pros and cons of different architecture and design solutions, or finding unique ways to fulfill user requirements, the ability to think creatively is crucial for making informed decisions that will result in efficient and effective software. However, the interfaces of current chatbot tools for programmers, such as OpenAI’s ChatGPT or GitHub Copilot, are optimized for presenting a single solution, even for complex queries. While other solutions can be requested, they are not displayed by default and are not intuitive to access. In this paper, we present our work-in-progress prototype “GPTCOMPARE”, which allows programmers to visually compare multiple source code solutions generated by GPT-n models for the same programming-related query by highlighting their similarities and differences.",,979-8-3503-0212-7,10.1109/BotSE59190.2023.00008,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10190325,Chatbots;diversity;complexity;solution spaces,Navigation;Source coding;Prototypes;Chatbots;Software;Libraries;Problem-solving,,6.0,,27.0,IEEE,27 Jul 2023,,,IEEE,IEEE Conferences
50,Leaky Kits: The Increased Risk of Data Exposure from Phishing Kits,B. Tejaswi; N. Samarasinghe; S. Pourali; M. Mannan; A. Youssef,"Concordia University, Montreal, Canada; Concordia University, Montreal, Canada; Concordia University, Montreal, Canada; Concordia University, Montreal, Canada; Concordia University, Montreal, Canada",2022 APWG Symposium on Electronic Crime Research (eCrime),6 Jun 2023,2022,,,1,13,"Phishing kits allow adversaries with little or no technical experience to launch phishing websites in a short time. Past research has found such phishing kits that contain backdoors (e.g., obfuscated email addresses), which are intentionally added by the kit developers to obtain the phished data. In this work, we augment on prior research by exploring several ways in which security flaws in phishing kits make the victim data accessible to a wider set of adversaries beyond the kit deployers and kit developers. We implement an automated framework for kit collection and analysis, which includes a custom command-line PHP execution tool (for dynamic analysis) along with other open-source tools. Our analysis focuses on finding backdoors (e.g., obfuscated email address, command injection), measuring the extent of disclosure of sensitive information (e.g., via exposed plaintext files, hardcoded Telegram bot tokens, hardcoded admin console passwords) and detecting security vulnerabilities in phishing kits. We analyze 4238 distinct phishing kits (from a set of 26,281 compressed files collected from several sources over a span of 15 months), each having unique SHA-1 hash value. We found that 3.9% of the analyzed kits contained at least one form of backdoor. We also found hardcoded admin console passwords and API keys used to access third party services, in 8.3% and 16% of the analyzed kits, respectively. In addition, 15.8% of the analyzed kits wrote stolen information (PII) of users in plaintext files; 5.6% kits did not restrict external access to these plaintext files, leading to exposure of sensitive phished data (e.g., 178,504 passwords, 133,248 email addresses, 1253 credit card numbers). Furthermore, 11.7% of the analyzed kits contained hardcoded Telegram bots; we obtained invite links to join Telegram chats in 0.5% kits, and found them to expose chat messages containing sensitive PII information of victims (e.g., 73,342 passwords, 141,095 email addresses, 3584 credit card numbers). We also found that 64% of the kits are affected by security vulnerabilities (e.g., insecure file operations, SQL injection), which can be abused to further expose user data. We have open-sourced our framework and other artifacts to benefit future research.",2159-1245,979-8-3503-0169-4,10.1109/eCrime57793.2022.10142092,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10142092,Phishing websites;phishing kits,Phishing;Passwords;SQL injection;Credit cards;Chatbots;Electronic mail;Security,,1.0,,50.0,IEEE,6 Jun 2023,,,IEEE,IEEE Conferences
51,Conversation Clustering Adaptation for Intent Recognition,M. Lew; A. Obuchowski; E. Kacprzak; A. Pluwak,"SentiOne, Gdańsk, Poland; Gdańsk University of Technology, Gdańsk, Poland; SentiOne, Gdańsk, Poland; SentiOne, Gdańsk, Poland",2021 20th IEEE International Conference on Machine Learning and Applications (ICMLA),25 Jan 2022,2021,,,1278,1285,"With the increasing presence of NLU tools such as automatic dialogue systems, achieving high accuracy of intent recognition in chatbots becomes an especially important problem to tackle. This issue cannot be solved without sufficient training data, but the scarcity of labelled training data often poses a major challenge to the development of real-life chatbots. Therefore, methods utilizing unlabelled data resources have been recently gaining interest. One of most notable approaches is the use of pre-trained encoders based on language models. Trained for general purposes, they benefit from further domain adjustments. In our work we offer an approach that can increase the model’s accuracy for text classification, which can serve as an alternative for standard methods of domain adaptation. Our approach consists of a combination of methods: a clustering approach, similar to intent induction; an encoder domain adaptation on a cluster classification task, similar to intent recognition using unlabelled data; and model fine-tuning on labelled datasets. In this approach unlabelled data becomes complementary to labelled data, reducing the time needed for corpus building. We evaluate our approach on: 1) the public WebApp dataset and 2) a demanding real-life banking domain dataset, achieving 0.97 and 0.93 accuracy respectively. This approach, called Conversation Clustering Adaptation (CCA), when applied to an encoder, increases the accuracy of intent recognition up by to 12.4pp and exceeds current state-of-the-art methods while benefiting from the use of additional training data. We share our code at https://github.com/michal-lew/cca.",,978-1-6654-4337-1,10.1109/ICMLA52953.2021.00208,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9680255,natural language processing;domain adaptation;fine-tuning;knowledge-transfer;chat-bots,Adaptation models;Conferences;Transfer learning;Text categorization;Natural languages;Training data;Chatbots,,,,29.0,IEEE,25 Jan 2022,,,IEEE,IEEE Conferences
52,A Blockchain-Based Ticket Sales Platform,P. Sombat; P. Ratanaworachan,"Department of Computer Engineering, Faculty of Engineering, Kasetsart University, Bangkok, Thailand; Department of Computer Engineering, Faculty of Engineering, Kasetsart University, Bangkok, Thailand",2023 27th International Computer Science and Engineering Conference (ICSEC),4 Dec 2023,2023,,,226,230,"Concerts or fan meetings usually attract lots of attention, generating huge demand for tickets for these events. But, existing ticket purchase systems are unable to efficiently and transparently accommodate this. We often hear scandals of bot-controlled clients gobbling up tickets within seconds after sales open or celebrities acquiring prime tickets exceeding individual quota. These problems arise because existing systems are centralized. This can be a single point of failure and the controlling authority can ban or give privileges to certain users. This work sets out to remedy these problems using a blockchain-base solution that, by nature, is highly decentralized. We have created and deployed EVM (Ethereum Virtual Machine)-based smart contracts for ticket sales platform on two EVM-compatible blockchains, Ethereum (ETH) and Avalanche (AVAX). These contracts inherit heavily from the ERC-721 standard for NFT (Non-Fungible Token). The platforms on both blockchains engender the desirable transparency. However, the platform on Avalanche is much more efficient and economical to deploy and utilize. We have open-sourced the code for our platform on Github. Visit the following link to fork or check it out: https://github.com/JesperBerben/TicketNFT In addition, you can now interact with our platform on Avalanche which has been deployed and verified at the address linked to below: https://snowtrace.io/address/0x17fd3f6cf6cbff75604b63f1ca12c6db29730a9c",2768-0592,979-8-3503-4210-9,10.1109/ICSEC59635.2023.10329682,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10329682,Ticket sales platforms;Non-fungible tokens (NFTs);Avalanche blockchain;Ethereum blockchain,Computer science;Fans;Codes;Smart contracts;Standards organizations;Organizations;Censorship,,,,12.0,IEEE,4 Dec 2023,,,IEEE,IEEE Conferences
53,Explaining Differences in Classes of Discrete Sequences,S. Saadat; G. Sukthankar,"Department of Computer Science, University of Central Florida, Orlando, FL, US; Department of Computer Science, University of Central Florida, Orlando, FL, US",2020 IEEE/WIC/ACM International Joint Conference on Web Intelligence and Intelligent Agent Technology (WI-IAT),24 Jun 2021,2020,,,129,136,"While there are many machine learning methods to classify and cluster sequences, they fail to explain what are the differences in groups of sequences that make them distinguishable. Although in some cases having a black box model is sufficient, there is a need for increased explainability in research areas focused on human behaviors. For example, psychologists are less interested in having a model that predicts human behavior with high accuracy and more concerned with identifying differences between actions that lead to divergent human behavior. This paper presents techniques for understanding differences between classes of discrete sequences. Approaches introduced in this paper can be utilized to interpret black box machine learning models on sequences. The first approach compares k-gram representations of sequences using the silhouette score. The second method characterizes differences by analyzing the distance matrix of subsequences. As a case study, we trained black box supervised learning methods to classify sequences of GitHub teams and then utilized our sequence analysis techniques to measure and characterize differences between event sequences of teams with bots and teams without bots. In our second case study, we classified Minecraft event sequences to infer their high-level actions and analyzed differences between low-level event sequences of actions.",,978-1-6654-1924-6,10.1109/WIIAT50758.2020.00022,Defense Advanced Research Projects Agency; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9457746,supervised learning;discrete sequence mining;explainable AI,Sequences;Supervised learning;Psychology;Machine learning;Predictive models;Observers;Teamwork,,2.0,,27.0,IEEE,24 Jun 2021,,,IEEE,IEEE Conferences
54,Improved text language identification for the South African languages,B. Duvenhage; M. Ntini; P. Ramonyai,"Praekelt Consulting, Feersum Engine, Johannesburg, South Africa; Engineering Team, Praekelt Consulting, Johannesburg, South Africa; Engineering Team, Praekelt Consulting, Johannesburg, South Africa",2017 Pattern Recognition Association of South Africa and Robotics and Mechatronics (PRASA-RobMech),18 Jan 2018,2017,,,214,218,"Virtual assistants and text chatbots have recently been gaining popularity. Given the short message nature of text-based chat interactions, the language identification systems of these bots might only have 15 or 20 characters to make a prediction. However, accurate text language identification is important, especially in the early stages of many multilingual natural language processing pipelines. This paper investigates the use of a naive Bayes classifier, to accurately predict the language family that a piece of text belongs to, combined with a lexicon based classifier to distinguish the specific South African language that the text is written in. This approach leads to a 31% reduction in the language detection error. In the spirit of reproducible research the training and testing datasets as well as the code are published on github. Hopefully it will be useful to create a text language identification shared task for South African languages.",,978-1-5386-2314-5,10.1109/RoboMech.2017.8261150,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8261150,Naive Bayesian text classification;lexicon based text classification;text language identification,Training;Google;Natural language processing;Testing;Support vector machines;Pipelines,,5.0,,12.0,IEEE,18 Jan 2018,,,IEEE,IEEE Conferences
55,Dish-ID: A neural-based method for ingredient extraction and further recipe suggestion,I. Shchuka; S. Miftakhov; V. Patrushev; M. Tikhonova; A. Fenogenova,"MPEI (Moscow Power Engineering Institute), Moscow, Russia; New Economic School (NES), Moscow, Russia; NSU (Novosibirsk State University), Novosibirsk, Russia; National Research University Higher School of Economics, Sberbank, Moscow, Russia; Sberbank, Moscow, Russia",2020 International Conference Engineering and Telecommunication (En&T),24 May 2021,2020,,,1,5,"The paper presents a method for meal recognition, ingredient extraction and recipe suggestion in the Russian language. The proposed algorithm consists of several consecutive stages. On the first stage the model extracts a list of ingredients from a photo of the dish, based on which recipes on the second stage are selected. Two ingredient extraction architectures were tested for the first stage and three recipe matching methods for recipe suggestion are proposed. In addition, the algorithm was incorporated into the telegram-bot which provides friendly user experience. Source code is at https://github.com/Alenushldish_id_sirius.",,978-1-7281-8829-4,10.1109/EnT50437.2020.9431242,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9431242,machine learning;natural language processing;computer vision;deep learning;neural networks;food recognition;food detection;image capturing;ingredient extraction,Adaptation models;Machine learning algorithms;Pipelines;Europe;User experience;Task analysis,,1.0,,14.0,IEEE,24 May 2021,,,IEEE,IEEE Conferences
